P, Iterations, IO Time, Iteration time, Time per iteration, Gather time
  1  1101 0.0246491 0.0807939 0.0000734 0.0000651
  2  1101 0.0077989 0.0460980 0.0000419 0.0001831
  4  1101 0.0088520 0.0237651 0.0000216 0.0002298
  8  1101 0.2236640 0.0158610 0.0000144 0.0003371
 16  1101 0.0094850 0.0146580 0.0000133 0.0004818
 48  1101 0.0149460 0.0257568 0.0000234 0.0011830
  1  1101 0.0094621 0.0805662 0.0000732 0.0000570
  2  1101 0.0092640 0.0460169 0.0000418 0.0001881
  4  1101 0.0088968 0.0239918 0.0000218 0.0002310
  8  1101 0.0118289 0.0170469 0.0000155 0.0004001
 16  1101 0.0109260 0.0147281 0.0000134 0.0004480
 48  1101 0.0151000 0.0451651 0.0000410 0.0011618
  1  1101 0.0092950 0.0805709 0.0000732 0.0000641
  2  1101 0.0158329 0.0461609 0.0000419 0.0001872
  4  1101 0.0094061 0.0239689 0.0000218 0.0002260
  8  1101 0.0093620 0.0168662 0.0000153 0.0003471
 16  1101 0.0096509 0.0141940 0.0000129 0.0003011
 48  1101 0.0180800 0.0280950 0.0000255 0.0006869
  1  1101 0.0087640 0.0807540 0.0000733 0.0000641
  2  1101 0.0097959 0.0463200 0.0000421 0.0001829
  4  1101 0.0106380 0.0237010 0.0000215 0.0002291
  8  1101 0.0106881 0.0173919 0.0000158 0.0003741
 16  1101 0.0097589 0.0145440 0.0000132 0.0002799
 48  1101 0.0180688 0.0195870 0.0000178 0.0006871
  1  1101 0.0077500 0.0807290 0.0000733 0.0000641
  2  1101 0.0086071 0.0456049 0.0000414 0.0001898
  4  1101 0.0089490 0.0239789 0.0000218 0.0002310
  8  1101 0.0097082 0.0169320 0.0000154 0.0003390
 16  1101 0.0102880 0.0143359 0.0000130 0.0002921
 48  1101 0.0149989 0.0265229 0.0000241 0.0012619
